,name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,fixed-ingredient-1,fixed-measurement-1,fixed-ingredient-2,fixed-measurement-2,fixed-ingredient-3,fixed-measurement-3,fixed-ingredient-4,fixed-measurement-4,fixed-ingredient-5,fixed-measurement-5,fixed-ingredient-6,fixed-measurement-6,fixed-instructions,blend,shake,stir-strain,build,no-measurement,total-liquid,alco-pop,beer,bitters,brandy,citrus juice,citrus spirit,cream spirit,dessert spirit,egg,flavoured water,floral spirit,fortified wine,fruit juice,fruit spirit,gin,herbal spirit,milk,rum,sauce,soda,sparkling wine,syrup,tea,tequila,water,vodka,whisky,wine,glass-total,total-alcohol,total-ingredients,alco-percent
0,Gauguin,Cocktail Classics,2 oz, Light Rum,1 oz, Passion Fruit Syrup,1 oz, Lemon Juice,1 oz, Lime Juice,,,,,Combine ingredients with a cup of crushed ice in blender and blend at low speed. Serve in old-fashioned glass. Top with a cherry.,Old-Fashioned Glass,6 to 8 ounces,light rum,2 oz,passion fruit syrup,1 oz,lemon juice,1 oz,lime juice,1 oz,,,,,combine ingredients with a cup of crushed ice in blender and blend at low speed. serve in old-fashioned glass. top with a cherry.,True,False,False,True,,150.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,60.0,3,0.4
1,Fort Lauderdale,Cocktail Classics,1 1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,1/4 oz, Juice of Orange,1/4 oz, Juice of a Lime,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Add a slice of orange.,Old-Fashioned Glass,6 to 8 ounces,light rum,1 1/2 oz,sweet vermouth,1/2 oz,juice of orange,1/4 oz,juice of a lime,1/4 oz,,,,,shake with ice and strain into old-fashioned glass over ice cubes. add a slice of orange.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,60.0,3,0.8
2,Apple Pie,Cordials and Liqueurs,3 oz, Apple schnapps,1 oz, Cinnamon schnapps,, Apple slice,,,,,,,Pour into ice-filled old-fashioned glass. Garnish with apple and top with cinnamon.,Old-Fashioned Glass,6 to 8 ounces,apple schnapps,3 oz,cinnamon schnapps,1 oz,apple slice,,,,,,,,pour into ice-filled old-fashioned glass. garnish with apple and top with cinnamon.,False,False,False,True,,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,60.0,2,0.5
3,Cuban Cocktail No. 1,Cocktail Classics,1/2 oz, Juice of a Lime,1/2 oz, Powdered Sugar,2 oz, Light Rum,,,,,,,Shake with ice and  strain into cocktail glass.,Cocktail Glass,6 or more ounces,juice of a lime,1/2 oz,powdered sugar,1/2 oz,light rum,2 oz,,,,,,,shake with ice and  strain into cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,2,0.8
4,Cool Carlos,Cocktail Classics,1 1/2 oz, Dark rum,2 oz, Cranberry Juice,2 oz, Pineapple Juice,1 oz, Orange curacao,1 oz, Sour Mix,,,"Mix all ingredients except curacao with ice, shake well. Pour into collins glass and float curacao on top. Garnish with pineapple and orange slices, and a cherry.",Collins Glass,14 to 16 ounces,dark rum,1 1/2 oz,cranberry juice,2 oz,pineapple juice,2 oz,orange orange liqueur,1 oz,sour mix,1 oz,,,"mix all ingredients except curacao with ice, shake well. pour into collins glass and float curacao on top. garnish with pineapple and orange slices, and a cherry.",False,True,False,False,,195.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,60.0,3,0.3076923076923077
5,John Collins,Whiskies,2 oz, Bourbon whiskey,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Soda water,1 oz," Orange and lemon wheels, maraschino cherry",,,"Shake first three ingredients with ice and strain into Collins glass. Add ice, fill with soda water, and stir. Garnish with orange, lemon, and cherry. Serve with straws.",Collins Glass,14 to 16 ounces,bourbon whiskey,2 oz,fresh lemon juice,1 oz,simple syrup,1/2 oz,soda water,1 oz,"orange,lemon wheels, maraschino cherry",1 oz,,,"shake first three ingredients with ice and strain into collins glass. add ice, fill with soda water, and stir. garnish with orange, lemon, and cherry. serve with straws.",False,True,False,True,,135.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,450.0,60.0,4,0.4444444444444444
6,Cherry Rum,Cocktail Classics,1 1/4 oz, Light Rum,1 1/2 oz, cherry-flavored brandy,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,light rum,1 1/4 oz,cherry-flavored brandy,1 1/2 oz,light cream,1 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,30.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,3,0.5333333333333333
7,Casa Blanca,Cocktail Classics,2 oz, Light Rum,1 1/2 oz, Lime Juice,1 1/2 oz, Triple Sec,1 1/2 oz, Maraschino,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,light rum,2 oz,lime juice,1 1/2 oz,orange liqueur,1 1/2 oz,maraschino liqueur,1 1/2 oz,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,195.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,105.0,4,0.5384615384615384
8,Caribbean Champagne,Cocktail Classics,1/2 oz, Light Rum,1/2 oz, Creme de banana, ,Chilled Champagne,,,,,,,Pour rum and banana liqueur into champagne flute. Fill with champagne and stir lightly. Add a slice of banana.,Champagne Flute,6 to 8 ounces,light rum,1/2 oz,creme de banana,1/2 oz,chilled champagne,,,,,,,,pour rum and banana liqueur into champagne flute. fill with champagne and stir lightly. add a slice of banana.,False,False,False,True,sparkling wine,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,127.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,54.375,3,0.34523809523809523
9,Amber Amour,Cordials and Liqueurs,1 1/2 oz, Amaretto,1/4 oz, Fresh lemon juice,1/4 oz, Simple Syrup,, Soda water,, Maraschino cherry,,,"Pour amaretto, lemon juice, and syrup into ice-filled Collins glass. Top with soda water and stir. Garnish with cherry.",Collins Glass,14 to 16 ounces,almond liqueur,1 1/2 oz,fresh lemon juice,1/4 oz,simple syrup,1/4 oz,soda water,,maraschino cherry,,,,"pour amaretto, lemon juice, and syrup into ice-filled collins glass. top with soda water and stir. garnish with cherry.",False,False,False,True,soda,337.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,277.5,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,450.0,22.5,4,0.06666666666666667
10,The Joe Lewis,Whiskies,1 1/2 oz, Scotch Whiskey,1 oz, Fresh carrot juice,3/4 oz, Tawny port,1/2 oz, Fresh lemon juice,1 oz, Agave nectar,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,scotch whiskey,1 1/2 oz,fresh carrot juice,1 oz,tawny port,3/4 oz,fresh lemon juice,1/2 oz,agave nectar,1 oz,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,142.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,45.0,0.0,180.0,67.5,5,0.47368421052631576
11,Bacardi Cocktail,Cocktail Classics,1 1/2 oz, Bacardi Rum,1/2 oz, Juice of a Lime,1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,bacardi rum,1 1/2 oz,juice of a lime,1/2 oz,grenadine,1/2 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,45.0,3,0.6
12,Apple Pie No. 1,Cocktail Classics,3/4 oz, Light Rum,3/4 oz, Sweet Vermouth,1 oz, Apple Brandy,1/2 oz, Grenadine,1 oz, Lemon Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,light rum,3/4 oz,sweet vermouth,3/4 oz,apple brandy,1 oz,grenadine,1/2 oz,lemon juice,1 oz,,,shake with ice and strain into cocktail glass.,False,True,False,False,,120.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,30.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,5,0.5
13,Yolanda,Cocktail Classics,1/2 oz, Brandy,1/2 oz, Gin,1/2 oz, Anisette,1 oz, Sweet Vermouth,1 oz, Grenadine,,,Shake with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces,brandy,1/2 oz,gin,1/2 oz,herbal spirit,1/2 oz,sweet vermouth,1 oz,grenadine,1 oz,,,shake with ice and strain into cocktail glass. add a twist of orange peel.,False,True,False,False,,105.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,5,0.6428571428571429
14,Yellow Rattler,Cocktail Classics,1 oz, Gin,1 oz, Orange Juice,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,,,,,Shake with ice and strain into cocktail glass. Add a cocktail onion.,Cocktail Glass,6 or more ounces,gin,1 oz,orange juice,1 oz,dry vermouth,1/2 oz,sweet vermouth,1/2 oz,,,,,shake with ice and strain into cocktail glass. add a cocktail onion.,False,True,False,False,,90.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,3,0.6666666666666666
15,Why Not?,Cocktail Classics,1 oz, Gin,1 oz, Apricot Flavored Brandy,1/2 oz, Dry Vermouth,1 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,gin,1 oz,apricot flavored brandy,1 oz,dry vermouth,1/2 oz,lemon juice,1 oz,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,105.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,4,0.5714285714285714
16,Amaretto Stinger,Cordials and Liqueurs,1 1/2 oz, Amaretto,3/4 oz, White creme de menthe,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces,almond liqueur,1 1/2 oz,white creme de menthe,3/4 oz,,,,,,,,,shake with ice and strain into chilled cocktail glass.,False,True,False,False,,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,33.75,2,0.5
17,What The Hell,Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1 oz, Apricot Flavored Brandy,1 oz, Lemon Juice,,,,,Stir in old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces,gin,1 oz,dry vermouth,1 oz,apricot flavored brandy,1 oz,lemon juice,1 oz,,,,,stir in old-fashioned glass over ice cubes.,False,False,False,True,,120.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,75.0,4,0.625
18,Webster Cocktail,Cocktail Classics,1/2 oz, Juice of a Lime,1 1/2 oz, Apricot Flavored Brandy,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,juice of a lime,1/2 oz,apricot flavored brandy,1 1/2 oz,dry vermouth,1/2 oz,gin,1 oz,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,105.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,4,0.6428571428571429
19,Union Jack Cocktail,Cocktail Classics,3/4 oz, Sloe gin,1 1/2 oz, Gin,1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,sloe gin,3/4 oz,gin,1 1/2 oz,grenadine,1/2 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,2,0.8181818181818182
20,Jocose Julep,Whiskies,2 1/2 oz, Bourbon whiskey,1/2 oz, Green creme de menthe,1 oz, Fresh Lime Juice,1/2 oz, Simple Syrup,5 oz, Fresh mint leaves,, Soda water,Combine first five ingredients in blender without ice until smooth. Pour into ice-filled Collins glass. Fill with soda water and stir. Garnish with mint sprig.,Collins Glass,14 to 16 ounces,bourbon whiskey,2 1/2 oz,green creme de menthe,1/2 oz,fresh lime juice,1 oz,simple syrup,1/2 oz,fresh mint leaves,5 oz,soda water,,combine first five ingredients in blender without ice until smooth. pour into ice-filled collins glass. fill with soda water and stir. garnish with mint sprig.,True,False,False,True,soda,337.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,202.5,0.0,15.0,0.0,0.0,0.0,0.0,75.0,0.0,450.0,82.5,5,0.24444444444444444
21,Trinity Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,3/4 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,sweet vermouth,3/4 oz,dry vermouth,3/4 oz,gin,3/4 oz,,,,,,,stir with ice and strain into cocktail glass.,False,False,True,False,,67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,2,1.0
22,Three Stripes Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Dry Vermouth,1 oz, Orange Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,gin,1 oz,dry vermouth,1/2 oz,orange juice,1 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,45.0,3,0.6
23,Tanq-A-Rita,Cocktail Classics,1 1/2 oz, Tanqueray gin,3 oz, Margarita Mix,1 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,tanqueray gin,1 1/2 oz,citrus juice,3 oz,orange liqueur,1 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,165.0,0.0,0.0,0.0,0.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,60.0,3,0.36363636363636365
24,Amaretto Sour,Cordials and Liqueurs,1 1/2 oz, Amaretto,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1, Orange half-wheel,,,,,Shake with ice and strain into chilled sour glass. Garnish with orange.,Cordial or Pony Glass,2 to 3 ounces,almond liqueur,1 1/2 oz,fresh lemon juice,3/4 oz,simple syrup,1/2 oz,orange half-wheel,1,,,,,shake with ice and strain into chilled sour glass. garnish with orange.,False,True,False,False,,82.5,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,22.5,3,0.2727272727272727
25,Tailspin Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Sweet Vermouth,3/4 oz, Green Chartreuse,1 oz, Orange Bitters,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel and a cherry or olive.,Cocktail Glass,6 or more ounces,gin,3/4 oz,sweet vermouth,3/4 oz,green herbal spirit,3/4 oz,orange bitters,1 dash,,,,,stir with ice and strain into cocktail glass. add a twist of lemon peel and a cherry or olive.,False,False,True,False,,69.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,22.5,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,58.25,4,0.8381294964028777
26,Sweet Patootie Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Triple Sec,1 oz, Orange Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,gin,1 oz,orange liqueur,1/2 oz,orange juice,1 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,37.5,3,0.5
27,Sunshine Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,1 1/2 oz, Gin,1 oz, Bitters,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces,sweet vermouth,3/4 oz,gin,1 1/2 oz,bitters,1 dash,,,,,,,stir with ice and strain into cocktail glass. add a twist of orange peel.,False,False,True,False,,69.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,69.5,3,1.0
28,Spring Feeling Cocktail,Cocktail Classics,1 oz, Lemon Juice,1/2 oz, Green Chartreuse,1 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,lemon juice,1 oz,green herbal spirit,1/2 oz,gin,1 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,37.5,3,0.5
29,Sphinx Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass. Serve with a slice of lemon.,Cocktail Glass,6 or more ounces,gin,1 1/2 oz,sweet vermouth,1 1/2 oz,dry vermouth,1 1/2 oz,,,,,,,stir with ice and strain into cocktail glass. serve with a slice of lemon.,False,False,True,False,,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,135.0,2,1.0
30,Jitterbug Sour,Whiskies,2 oz, Straight rye whiskey,1/2 oz, Benedictine,3/4 oz, Fresh lemon juice,1/2 oz, Honey Syrup,1 oz, Egg White,1 dash, Angostura Bitters,Shake first five ingredients with ice and strain into chilled cocktail glass. Add bitters and lemon twist.,Cocktail Glass,6 or more ounces,straight rye whiskey,2 oz,herbal spirit,1/2 oz,fresh lemon juice,3/4 oz,honey syrup,1/2 oz,egg white,1 oz,angostura bitters,1 dash,shake first five ingredients with ice and strain into chilled cocktail glass. add bitters and lemon twist.,False,True,False,False,,144.5,0.0,0.0,2.0,0.0,22.5,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,69.5,6,0.4809688581314879
31,Southern Gin Cocktail,Cocktail Classics,2 oz, Gin,2 oz, Orange Bitters,1/2 oz, Triple Sec,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,gin,2 oz,orange bitters,2 dash,orange liqueur,1/2 oz,,,,,,,stir with ice and strain into cocktail glass. add a twist of lemon peel.,False,False,True,False,,79.0,0.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,71.5,3,0.9050632911392406
32,Society Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,1/4 oz, Grenadine,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,gin,1 1/2 oz,dry vermouth,3/4 oz,grenadine,1/4 oz,,,,,,,stir with ice and strain into cocktail glass.,False,False,True,False,,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,3,0.9
33,Snyder,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,gin,1 1/2 oz,dry vermouth,1/2 oz,orange liqueur,1/2 oz,,,,,,,shake with ice and strain into cocktail glass. add a twist of lemon peel.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,67.5,3,0.9
34,Smiler Cocktail,Cocktail Classics,1/2 oz, Sweet Vermouth,1/2 oz, Dry Vermouth,1 oz, Gin,1 oz, Bitters,1/4 oz, Orange Juice,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,sweet vermouth,1/2 oz,dry vermouth,1/2 oz,gin,1 oz,bitters,1 dash,orange juice,1/4 oz,,,shake with ice and strain into cocktail glass.,False,True,False,False,,69.5,0.0,0.0,2.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,62.0,4,0.8920863309352518
35,Smile Cocktail,Cocktail Classics,1 oz, Grenadine,1 oz, Gin,1/2 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,grenadine,1 oz,gin,1 oz,lemon juice,1/2 oz,,,,,,,shake with ice and strain into cocktail glass.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,30.0,3,0.4
36,Amaretto Rose,Cordials and Liqueurs,1 1/2 oz, Amaretto,1/2 oz, Fresh lemon juice,1/2 oz, Simple Syrup,, Soda water,,,,,Pour first three ingredients into ice-filled Collins glass and fill with soda water. Stir.,Collins Glass,14 to 16 ounces,almond liqueur,1 1/2 oz,fresh lemon juice,1/2 oz,simple syrup,1/2 oz,soda water,,,,,,pour first three ingredients into ice-filled collins glass and fill with soda water. stir.,False,False,False,True,soda,337.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,262.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,22.5,4,0.06666666666666667
37,Sand-Martin Cocktail,Cocktail Classics,1 oz, Green Chartreuse,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces,green herbal spirit,1 oz,sweet vermouth,1 1/2 oz,gin,1 1/2 oz,,,,,,,stir with ice and strain into cocktail glass.,False,False,True,False,,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,105.0,3,0.875
38,Irish Whiskey Highball,Whiskies,2 oz, Irish Whiskey,1 oz, Ginger ale or soda water,1 oz, Lemon twist (optional),,,,,,,"Pour whiskey into ice-filled highball glass. Fill with ginger ale or soda water. Add lemon twist, if desired, and stir.",Highball Glass,7 to 10 ounces,irish whiskey,2 oz,soda,1 oz,lemon twist (optional),1 oz,,,,,,,"pour whiskey into ice-filled highball glass. fill with ginger ale or soda water. add lemon twist, if desired, and stir.",False,False,False,True,,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,255.0,60.0,2,0.6666666666666666
