,name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size,fixed-ingredient-1,fixed-measurement-1,fixed-ingredient-2,fixed-measurement-2,fixed-ingredient-3,fixed-measurement-3,fixed-ingredient-4,fixed-measurement-4,fixed-ingredient-5,fixed-measurement-5,fixed-ingredient-6,fixed-measurement-6,fixed-instructions,blend,shake,stir-strain,build,no-measurement,total-liquid,alco-pop,beer,bitters,brandy,citrus juice,citrus spirit,cream spirit,dessert spirit,egg,flavoured water,floral spirit,fortified wine,fruit juice,fruit spirit,gin,herbal spirit,milk,rum,sauce,soda,sparkling wine,syrup,tea,tequila,water,vodka,whisky,wine,glass-total,total-alcohol,total-ingredients,alco-percent
201,Top Banana,Vodka,1 oz, Vodka,1 oz, Creme de banana,2 oz, Orange juice,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces,vodka,1 oz,creme de banana,1 oz,orange juice,2 oz,,,,,,,shake with ice and strain into ice-filled old-fashioned glass.,False,True,False,False,,120.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,210.0,45.0,3,0.375
202,Emperor Norton's Mistress,Whiskies,3 oz," Fresh strawberries, cut in halves",1 1/2 oz, Bourbon whiskey,1/2 oz, Vanilla liqueur,1/4 oz, Triple Sec,, Strawberry slice,,,Muddle halved strawberries in mixing glass. Add remaining ingredients. Shake with ice and double-strain into ice-filled oldfashioned glass. Garnish with strawberry slice.,Old-Fashioned Glass,6 to 8 ounces,"fresh strawberries, cut in halves",3 oz,bourbon whiskey,1 1/2 oz,vanilla liqueur,1/2 oz,orange liqueur,1/4 oz,strawberry slice,,,,muddle halved strawberries in mixing glass. add remaining ingredients. shake with ice and double-strain into ice-filled oldfashioned glass. garnish with strawberry slice.,False,True,False,False,,67.5,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,210.0,56.25,3,0.8333333333333334
203,Easterner,Whiskies,2 oz, Straight rye whiskey,1 oz, Fresh grapefruit juice,1/2 oz, Maple Syrup,, Grapefruit twist,,,,,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces,straight rye whiskey,2 oz,fresh grapefruit juice,1 oz,maple syrup,1/2 oz,grapefruit twist,,,,,,shake with ice and strain into chilled cocktail glass. add grapefruit twist.,False,True,False,False,,105.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,60.0,3,0.5714285714285714
204,Toasted Drop,Vodka,For glass," Lemon wedge, Cinnamon Sugar",1 1/2 oz, Citrus-flavored vodka,3/4 oz, Limoncello,1/4 oz, Amaretto,3/4 oz, Fresh lemon juice,1 oz, Egg White,Rim chilled cocktail glass with lemon and cinnamon sugar. Shake ingredients without ice. Add ice and shake again. Strain into glass. Add lemon twist.,Cocktail Glass,6 or more ounces,"lemon wedge, cinnamon sugar",for glass,citrus-flavored vodka,1 1/2 oz,citrus liqueur,3/4 oz,almond liqueur,1/4 oz,fresh lemon juice,3/4 oz,egg white,1 oz,rim chilled cocktail glass with lemon and cinnamon sugar. shake ingredients without ice. add ice and shake again. strain into glass. add lemon twist.,False,True,False,False,,127.5,0.0,0.0,0.0,0.0,22.5,67.5,0.0,0.0,30.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,37.5,4,0.29411764705882354
205,Eastern Sour,Whiskies,2 oz, Bourbon whiskey,1 1/2 oz, Orange juice,1 oz, Fresh Lime Juice,1/4 oz, orgeat or almond syrup,1/4 oz, Simple Syrup,, Orange and lime wheels,Shake with ice and strain into ice-filled highball glass. Garnish with orange and lime.,Highball Glass,7 to 10 ounces,bourbon whiskey,2 oz,orange juice,1 1/2 oz,fresh lime juice,1 oz,orgeat,1/4 oz,simple syrup,1/4 oz,"orange,lime wheels",,shake with ice and strain into ice-filled highball glass. garnish with orange and lime.,False,True,False,False,,150.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,255.0,60.0,3,0.4
206,K. C. B. Cocktail,Cocktail Classics,1/2 oz, Kummel,1 1/2 oz, Mr. Boston Gin,1/4 oz, Mr. Boston Apricot Flavored Brandy,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces,herbal spirit,1/2 oz,mr. boston gin,1 1/2 oz,mr. boston apricot flavored brandy,1/4 oz,lemon juice,1/4 oz,,,,,shake with ice and strain into cocktail glass. add a twist of lemon peel.,False,True,False,False,,75.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,56.25,4,0.75
207,Easter Elchies,Whiskies,2 oz, Single-malt Scotch whisky,1/2 oz, Cherry Heering,1/2 oz, Punt e Mes,1 oz, Orange Bitters,, Brandied cherry,,,Stir with ice and strain into chilled cocktail glass. Garnish with brandied cherry.,Cocktail Glass,6 or more ounces,single-malt scotch whisky,2 oz,cherry liqueur,1/2 oz,dry vermouth,1/2 oz,orange bitters,1 dash,brandied cherry,,,,stir with ice and strain into chilled cocktail glass. garnish with brandied cherry.,False,False,True,False,,92.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,84.5,4,0.9184782608695652
208,Dufftown Flip,Whiskies,2 oz, Blended Scotch Whiskey,1/2 oz, Port,1/2 oz, Demerara Syrup,1/2 oz, Almond milk,1 oz, Whole Egg,, Freshly grated nutmeg,Shake without ice. Then shake with ice and strain into snifter. Top with nutmeg.,Brandy Snifter,8 to 12 ounces,blended scotch whiskey,2 oz,port,1/2 oz,demerara syrup,1/2 oz,almond milk,1/2 oz,whole egg,1 oz,freshly grated nutmeg,,shake without ice. then shake with ice and strain into snifter. top with nutmeg.,False,True,False,False,,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,60.0,0.0,300.0,75.0,5,0.5555555555555556
209,Harvard Cooler,Brandy,2 oz, Apple Brandy,1/2 oz, Simple Syrup,, Soda water or ginger ale,, Orange and/or lemon zest spiral,,,,,Stir brandy and syrup in Collins glass. Add ice cubes and fill with soda water or ginger ale. Insert spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,Collins Glass,14 to 16 ounces,apple brandy,2 oz,simple syrup,1/2 oz,soda water,,orange and/or lemon zest spiral,,,,,,stir brandy and syrup in collins glass. add ice cubes and fill with soda water or ginger ale. insert spiral of orange or lemon zest (or both) and dangle end(s) over rim of glass.,False,False,False,True,soda,337.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,262.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,30.0,3,0.08888888888888889
210,The Duboudreau Cocktail,Whiskies,2 oz, Straight rye whiskey,3/4 oz, Dubonnet Rouge,1/4 oz, Fernet-Branca,1/4 oz, Elderflower liqueur,, Lemon twist,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces,straight rye whiskey,2 oz,herbal spirit rouge,3/4 oz,herbal spirit,1/4 oz,floral liqueur,1/4 oz,lemon twist,,,,stir with ice and strain into chilled cocktail glass. add lemon twist.,False,False,True,False,,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,180.0,82.5,3,0.7857142857142857
